ID	Education	Income	Recency	MntWines	MntFruits	MntMeatProducts	MntFishProducts	MntSweetProducts	MntGoldProds	NumDealsPurchases	NumWebPurchases	NumCatalogPurchases	NumStorePurchases	NumWebVisitsMonth	Response	Complain	Country	Customer_Age	Customer_Enrollment_Days	Marital_Status_Mapped	Family_Size	MntTotal	TotalPurchases	Num_Accepted	Campaign_Engagement	Cluster	Cluster Category
1826	Graduation	84835.0	0	189	104	379	111	189	218	1	4	4	6	1	1	0	Spain	54	3774	1	1	1190	15	0	Not Engaged	2	Cluster 3
1	Graduation	57091.0	0	464	5	64	7	0	37	1	7	3	7	5	1	0	Canada	63	3775	1	1	577	18	1	Not Engaged	1	Cluster 2
10476	Graduation	67267.0	0	134	11	59	15	2	30	1	3	2	5	2	0	0	USA	66	3808	2	3	251	11	0	Not Engaged	0	Cluster 1
1386	Graduation	32474.0	0	10	0	1	0	0	0	1	1	0	2	7	0	0	Australia	57	3810	2	4	11	4	0	Not Engaged	0	Cluster 1
5371	Graduation	21474.0	0	6	16	24	11	0	34	2	3	1	2	7	1	0	Spain	35	3843	1	2	91	8	1	Not Engaged	0	Cluster 1
7348	PhD	71691.0	0	336	130	411	240	32	43	1	4	7	5	2	1	0	Spain	66	3865	1	1	1192	17	0	Not Engaged	2	Cluster 3
4073	2n Cycle	63564.0	0	769	80	252	15	34	65	1	10	10	7	6	1	0	Germany	70	3912	2	2	1215	28	1	Not Engaged	2	Cluster 3
1991	Graduation	44931.0	0	78	0	11	0	0	7	1	2	1	3	5	0	0	Spain	57	3923	2	3	96	7	0	Not Engaged	0	Cluster 1
4047	PhD	65324.0	0	384	0	102	21	32	5	3	6	2	9	4	0	0	USA	70	3930	2	3	544	20	0	Not Engaged	1	Cluster 2
9477	PhD	65324.0	0	384	0	102	21	32	5	3	6	2	9	4	0	0	India	70	3930	2	3	544	20	0	Not Engaged	1	Cluster 2
2079	2n Cycle	81044.0	0	450	26	535	73	98	26	1	5	6	10	1	0	0	USA	77	3945	2	2	1208	22	0	Not Engaged	2	Cluster 3
5642	Master	62499.0	0	140	4	61	0	13	4	2	3	1	6	4	0	0	Spain	45	3963	2	3	222	12	0	Not Engaged	0	Cluster 1
10530	PhD	67786.0	0	431	82	441	80	20	102	1	3	6	6	1	1	0	India	65	3965	1	1	1156	16	0	Not Engaged	2	Cluster 3
2964	Graduation	26872.0	0	3	10	8	3	16	32	1	1	1	2	6	0	0	Canada	43	4017	2	2	72	5	0	Not Engaged	0	Cluster 1
10311	Graduation	4428.0	0	16	4	12	2	4	321	0	25	0	0	1	0	0	Spain	55	4028	2	3	359	25	0	Not Engaged	1	Cluster 2
837	Graduation	54809.0	0	63	6	57	13	13	22	4	2	1	5	4	0	0	Spain	47	4052	2	4	174	12	0	Not Engaged	0	Cluster 1
10521	Graduation	54809.0	0	63	6	57	13	13	22	4	2	1	5	4	1	0	Spain	47	4052	2	4	174	12	0	Not Engaged	0	Cluster 1
10175	PhD	32173.0	0	18	0	2	0	0	2	1	1	0	3	4	0	0	Spain	66	4093	1	2	22	5	0	Not Engaged	0	Cluster 1
1473	2n Cycle	47823.0	0	53	1	5	2	1	10	2	2	0	3	8	0	0	Canada	64	4102	1	2	72	7	0	Not Engaged	0	Cluster 1
2795	Master	30523.0	0	5	0	3	0	0	5	1	1	0	2	7	0	0	Canada	66	4124	1	4	13	4	0	Not Engaged	0	Cluster 1
2285	Master	36634.0	0	213	9	76	4	3	30	3	5	2	5	7	0	0	Saudi Arabia	70	4158	2	3	335	15	0	Not Engaged	1	Cluster 2
115	Master	43456.0	0	275	11	68	25	7	7	3	5	1	8	5	0	0	India	58	4221	1	2	393	17	0	Not Engaged	1	Cluster 2
10470	Master	40662.0	0	40	2	23	0	4	23	2	2	1	3	4	0	0	Germany	45	4232	2	3	92	8	0	Not Engaged	0	Cluster 1
4065	PhD	49544.0	0	308	0	73	0	0	23	2	5	1	8	7	0	0	Spain	48	4263	2	3	404	16	0	Not Engaged	1	Cluster 2
10968	Graduation	57731.0	0	266	21	300	65	8	44	4	8	8	6	6	0	0	India	55	4344	1	2	704	26	0	Not Engaged	1	Cluster 2
5985	Master	33168.0	0	80	1	37	0	1	3	3	2	1	4	7	0	0	Spain	59	4385	1	2	122	10	0	Not Engaged	0	Cluster 1
5430	Graduation	54450.0	0	454	0	171	8	19	32	12	9	2	8	8	0	0	Spain	68	4414	2	4	684	31	0	Not Engaged	1	Cluster 2
8432	Graduation	54450.0	0	454	0	171	8	19	32	12	9	2	8	8	0	0	Spain	68	4414	2	4	684	31	0	Not Engaged	1	Cluster 2
453	PhD	35340.0	1	27	0	12	0	1	5	2	2	0	3	5	0	0	Spain	68	3761	1	3	45	7	0	Not Engaged	0	Cluster 1
9687	Graduation	73170.0	1	184	174	256	50	30	32	1	5	4	6	2	0	0	Canada	49	3790	1	1	726	16	0	Not Engaged	2	Cluster 3
8890	PhD	65808.0	1	155	7	80	13	7	10	3	5	1	5	6	0	0	Spain	53	3791	1	3	272	14	0	Not Engaged	0	Cluster 1
9264	Graduation	79529.0	1	423	42	706	73	197	197	1	4	8	9	2	0	0	Canada	38	3824	2	2	1638	22	0	Not Engaged	2	Cluster 3
5824	PhD	34578.0	1	7	0	1	0	0	0	1	1	0	2	6	0	0	Australia	52	3840	2	5	8	4	0	Not Engaged	0	Cluster 1
5794	PhD	46374.0	1	408	0	21	0	0	17	3	7	1	7	8	1	0	India	50	3865	2	3	446	18	2	Moderately Engaged	1	Cluster 2
3068	Graduation	18351.0	1	1	12	9	0	14	7	1	2	0	3	7	0	0	Spain	34	4004	2	2	43	6	0	Not Engaged	0	Cluster 1
7962	PhD	95169.0	1	1285	21	449	106	20	20	1	4	3	4	1	1	0	Spain	37	4024	1	1	1901	12	2	Moderately Engaged	2	Cluster 3
2681	2n Cycle	65370.0	1	71	22	112	138	89	29	1	2	3	13	1	0	0	Spain	40	4093	2	2	461	19	0	Not Engaged	2	Cluster 3
10141	Master	39228.0	1	7	1	6	0	3	3	1	0	0	3	4	0	0	Saudi Arabia	64	4176	1	1	20	4	0	Not Engaged	0	Cluster 1
3725	PhD	84865.0	1	1248	16	349	43	16	16	1	2	4	9	4	1	0	Spain	63	4177	1	1	1688	16	4	Highly Engaged	2	Cluster 3
3767	Graduation	61314.0	1	378	0	189	97	172	172	2	5	5	12	3	0	0	Spain	56	4191	2	3	1008	24	0	Not Engaged	2	Cluster 3
5585	Graduation	21359.0	1	12	2	17	6	1	10	2	2	0	3	8	1	0	Canada	52	4196	1	2	48	7	0	Not Engaged	0	Cluster 1
7030	PhD	66465.0	1	1200	0	204	38	29	14	3	11	9	12	6	0	0	Spain	69	4217	2	3	1485	35	1	Not Engaged	1	Cluster 2
1524	2n Cycle	81698.0	1	709	45	115	30	160	45	1	8	2	5	5	1	0	Spain	41	4246	1	1	1104	16	1	Not Engaged	2	Cluster 3
3657	Graduation	39146.0	1	94	1	33	13	12	12	3	4	0	4	8	0	0	Spain	38	4261	1	2	165	11	0	Not Engaged	0	Cluster 1
